;Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
7387;1654932300;0;0;0;0;0;0;0;0
7388;1654932600;0;0;0;0;0;0;0;0
7389;1654932900;0;0;0;0;0;0;0;0
7390;1654933200;0;0;0;0;0;0;0;0
7391;1654933500;0;0;0;0;0;0;0;0
7392;1654933800;0;0;0;0;0;0;0;0
7393;1654934100;0;0;0;0;0;0;0;0
7394;1654934400;0;0;0;0;0;0;0;0
7395;1654934700;0;0;0;0;0;0;0;0
7396;1654935000;0;0;0;0;0;0;0;0
7397;1654935300;0;0;0;0;0;0;0;0
7398;1654935600;0;0;0;0;0;0;0;0
7399;1654935900;0;0;0;0;0;0;0;0
7400;1654936200;0;0;0;0;0;0;0;0
7401;1654936500;0;0;0;0;0;0;0;0
7402;1654936800;0;0;0;0;0;0;0;0
7403;1654937100;0;0;0;0;0;0;0;0
7404;1654937400;0;0;0;0;0;0;0;0
7405;1654937700;0;0;0;0;0;0;0;0
7406;1654938000;0;0;0;0;0;0;0;0
7407;1654938300;0;0;0;0;0;0;0;0
7408;1654938600;0;0;0;0;0;0;0;0
7409;1654938900;0;0;0;0;0;0;0;0
7410;1654939200;0;0;0;0;0;0;0;0
7411;1654939500;0;0;0;0;0;0;0;0
7412;1654939800;0;0;0;0;0;0;0;0
7413;1654940100;0;0;0;0;0;0;0;0
7414;1654940400;0;0;0;0;0;0;0;0
7415;1654940700;0;0;0;0;0;0;0;0
7416;1654941000;0;0;0;0;0;0;0;0
7417;1654941300;0;0;0;0;0;0;0;0
7418;1654941600;0;0;0;0;0;0;0;0
7419;1654941900;0;0;0;0;0;0;0;0
7420;1654942200;0;0;0;0;0;0;0;0
7421;1654942500;0;0;0;0;0;0;0;0
7422;1654942800;0;0;0;0;0;0;0;0
7423;1654943100;0;0;0;0;0;0;0;0
7424;1654943400;0;0;0;0;0;0;0;0
7425;1654943700;0;0;0;0;0;0;0;0
7426;1654944000;0;0;0;0;0;0;0;0
7427;1654944300;0;0;0;0;0;0;0;0
7428;1654944600;0;0;0;0;0;0;0;0
7429;1654944900;0;0;0;0;0;0;0;0
7430;1654945200;0;0;0;0;0;0;0;0
7431;1654945500;0;0;0;0;0;0;0;0
7432;1654945800;0;0;0;0;0;0;0;0
7433;1654946100;0;0;0;0;0;0;0;0
7434;1654946400;0;0;0;0;0;0;0;0
7435;1654946700;0;0;0;0;0;0;0;0
7436;1654947000;0;0;0;0;0;0;0;0
7437;1654947300;0;0;0;0;0;0;0;0
7438;1654947600;0;0;0;0;0;0;0;0
7439;1654947900;0;0;0;0;0;0;0;0
7440;1654948200;0;0;0;0;0;0;0;0
7441;1654948500;0;0;0;0;0;0;0;0
7442;1654948800;0;0;0;0;0;0;0;0
7443;1654949100;0;0;0;0;0;0;0;0
7444;1654949400;0;0;0;0;0;0;0;0
7445;1654949700;0;0;0;0;0;0;0;0
7446;1654950000;0;0;0;0;0;0;0;0
7447;1654950300;0;0;0;0;0;0;0;0
7448;1654950600;0;0;0;0;0;0;0;0
7449;1654950900;0;0;0;0;0;0;0;0
7450;1654951200;0;0;0;0;0;0;0;0
7451;1654951500;0;0;0;0;0;0;0;0
7452;1654951800;0;0;0;0;0;0;0;0
7453;1654952100;0;0;0;0;0;0;0;0
7454;1654952400;0;0;0;0;0;0;0;0
7455;1654952700;0;0;0;0;0;0;0;0
7456;1654953000;0;0;0;0;0;0;0;0
7457;1654953300;0;0;0;0;0;0;0;0
7458;1654953600;0;0;0;0;0;0;0;0
7459;1654953900;0;0;0;0;0;0;0;0
7460;1654954200;0;0;0;0;0;0;0;0
7461;1654954500;0;0;0;0;0;0;0;0
7462;1654954800;0;0;0;0;0;0;0;0
7463;1654955100;0;0;0;0;0;0;0;0
7464;1654955400;0;0;0;0;0;0;0;0
7465;1654955700;0;0;0;0;0;0;0;0
7466;1654956000;0;0;0;0;0;0;0;0
7467;1654956300;0;0;0;0;0;0;0;0
7468;1654956600;0;0;0;0;0;0;0;0
7469;1654956900;0;0;0;0;0;0;0;0
7470;1654957200;0;0;0;0;0;0;0;0
7471;1654957500;0;0;0;0;0;0;0;0
7472;1654957800;0;0;0;0;0;0;0;0
7473;1654958100;0;0;0;0;0;0;0;0
7474;1654958400;0;0;0;0;0;0;0;0
7475;1654958700;0;0;0;0;0;0;0;0
7476;1654959000;0;0;0;0;0;0;0;0
7477;1654959300;0;0;0;0;0;0;0;0
7478;1654959600;0;0;0;0;0;0;0;0
7479;1654959900;0;0;0;0;0;0;0;0
7480;1654960200;0;0;0;0;0;0;0;0
7481;1654960500;0;0;0;0;0;0;0;0
7482;1654960800;0;0;0;0;0;0;0;0
7483;1654961100;0;0;0;0;0;0;0;0
7484;1654961400;0;0;0;0;0;0;0;0
7485;1654961700;0;0;0;0;0;0;0;0
7486;1654962000;0;0;0;0;0;0;0;0
7487;1654962300;0;0;0;0;0;0;0;0
7488;1654962600;0;0;0;0;0;0;0;0
7489;1654962900;0;0;0;0;0;0;0;0
7490;1654963200;0;0;0;0;0;0;0;0
7491;1654963500;0;0;0;0;0;0;0;0
7492;1654963800;0;0;0;0;0;0;0;0
7493;1654964100;0;0;0;0;0;0;0;0
7494;1654964400;0;0;0;0;0;0;0;0
7495;1654964700;0;0;0;0;0;0;0;0
7496;1654965000;0;0;0;0;0;0;0;0
7497;1654965300;0;0;0;0;0;0;0;0
7498;1654965600;0;0;0;0;0;0;0;0
7499;1654965900;0;0;0;0;0;0;0;0
7500;1654966200;0;0;0;0;0;0;0;0
7501;1654966500;0;0;0;0;0;0;0;0
7502;1654966800;0;0;0;0;0;0;0;0
7503;1654967100;0;0;0;0;0;0;0;0
7504;1654967400;0;0;0;0;0;0;0;0
7505;1654967700;0;0;0;0;0;0;0;0
7506;1654968000;0;0;0;0;0;0;0;0
7507;1654968300;0;0;0;0;0;0;0;0
7508;1654968600;0;0;0;0;0;0;0;0
7509;1654968900;0;0;0;0;0;0;0;0
7510;1654969200;0;0;0;0;0;0;0;0
7511;1654969500;0;0;0;0;0;0;0;0
7512;1654969800;0;0;0;0;0;0;0;0
7513;1654970100;0;0;0;0;0;0;0;0
7514;1654970400;0;0;0;0;0;0;0;0
7515;1654970700;0;0;0;0;0;0;0;0
7516;1654971000;0;0;0;0;0;0;0;0
7517;1654971300;0;0;0;0;0;0;0;0
7518;1654971600;0;0;0;0;0;0;0;0
7519;1654971900;0;0;0;0;0;0;0;0
7520;1654972200;0;0;0;0;0;0;0;0
7521;1654972500;0;0;0;0;0;0;0;0
7522;1654972800;0;0;0;0;0;0;0;0
7523;1654973100;0;0;0;0;0;0;0;0
7524;1654973400;0;0;0;0;0;0;0;0
7525;1654973700;0;0;0;0;0;0;0;0
7526;1654974000;0;0;0;0;0;0;0;0
7527;1654974300;0;0;0;0;0;0;0;0
7528;1654974600;0;0;0;0;0;0;0;0
7529;1654974900;0;0;0;0;0;0;0;0
7530;1654975200;0;0;0;0;0;0;0;0
7531;1654975500;0;0;0;0;0;0;0;0
7532;1654975800;0;0;0;0;0;0;0;0
7533;1654976100;0;0;0;0;0;0;0;0
7534;1654976400;0;0;0;0;0;0;0;0
7535;1654976700;0;0;0;0;0;0;0;0
7536;1654977000;0;0;0;0;0;0;0;0
7537;1654977300;0;0;0;0;0;0;0;0
7538;1654977600;0;0;0;0;0;0;0;0
7539;1654977900;0;0;0;0;0;0;0;0
7540;1654978200;0;0;0;0;0;0;0;0
7541;1654978500;0;0;0;0;0;0;0;0
7542;1654978800;0;0;0;0;0;0;0;0
7543;1654979100;0;0;0;0;0;0;0;0
7544;1654979400;0;0;0;0;0;0;0;0
7545;1654979700;0;0;0;0;0;0;0;0
7546;1654980000;0;0;0;0;0;0;0;0
7547;1654980300;0;0;0;0;0;0;0;0
7548;1654980600;0;0;0;0;0;0;0;0
7549;1654980900;0;0;0;0;0;0;0;0
7550;1654981200;0;0;0;0;0;0;0;0
7551;1654981500;0;0;0;0;0;0;0;0
7552;1654981800;0;0;0;0;0;0;0;0
7553;1654982100;0;0;0;0;0;0;0;0
7554;1654982400;0;0;0;0;0;0;0;0
7555;1654982700;0;0;0;0;0;0;0;0
7556;1654983000;0;0;0;0;0;0;0;0
7557;1654983300;0;0;0;0;0;0;0;0
7558;1654983600;0;0;0;0;0;0;0;0
7559;1654983900;0;0;0;0;0;0;0;0
7560;1654984200;0;0;0;0;0;0;0;0
7561;1654984500;0;0;0;0;0;0;0;0
7562;1654984800;0;0;0;0;0;0;0;0
7563;1654985100;0;0;0;0;0;0;0;0
7564;1654985400;0;0;0;0;0;0;0;0
7565;1654985700;0;0;0;0;0;0;0;0
7566;1654986000;0;0;0;0;0;0;0;0
7567;1654986300;0;0;0;0;0;0;0;0
7568;1654986600;0;0;0;0;0;0;0;0
7569;1654986900;0;0;0;0;0;0;0;0
7570;1654987200;0;0;0;0;0;0;0;0
7571;1654987500;0;0;0;0;0;0;0;0
7572;1654987800;0;0;0;0;0;0;0;0
7573;1654988100;0;0;0;0;0;0;0;0
7574;1654988400;0;0;0;0;0;0;0;0
7575;1654988700;0;0;0;0;0;0;0;0
7576;1654989000;0;0;0;0;0;0;0;0
7577;1654989300;0;0;0;0;0;0;0;0
7578;1654989600;0;0;0;0;0;0;0;0
7579;1654989900;0;0;0;0;0;0;0;0
7580;1654990200;0;0;0;0;0;0;0;0
7581;1654990500;0;0;0;0;0;0;0;0
7582;1654990800;0;0;0;0;0;0;0;0
7583;1654991100;0;0;0;0;0;0;0;0
7584;1654991400;0;0;0;0;0;0;0;0
7585;1654991700;0;0;0;0;0;0;0;0
7586;1654992000;0;0;0;0;0;0;0;0
7587;1654992300;0;0;0;0;0;0;0;0
7588;1654992600;0;0;0;0;0;0;0;0
7589;1654992900;0;0;0;0;0;0;0;0
7590;1654993200;0;0;0;0;0;0;0;0
7591;1654993500;0;0;0;0;0;0;0;0
7592;1654993800;0;0;0;0;0;0;0;0
7593;1654994100;0;0;0;0;0;0;0;0
7594;1654994400;0;0;0;0;0;0;0;0
7595;1654994700;0;0;0;0;0;0;0;0
7596;1654995000;0;0;0;0;0;0;0;0
7597;1654995300;0;0;0;0;0;0;0;0
7598;1654995600;0;0;0;0;0;0;0;0
7599;1654995900;0;0;0;0;0;0;0;0
7600;1654996200;0;0;0;0;0;0;0;0
7601;1654996500;0;0;0;0;0;0;0;0
7602;1654996800;0;0;0;0;0;0;0;0
7603;1654997100;0;0;0;0;0;0;0;0
7604;1654997400;0;0;0;0;0;0;0;0
7605;1654997700;0;0;0;0;0;0;0;0
7606;1654998000;0;0;0;0;0;0;0;0
7607;1654998300;0;0;0;0;0;0;0;0
7608;1654998600;0;0;0;0;0;0;0;0
7609;1654998900;0;0;0;0;0;0;0;0
7610;1654999200;0;0;0;0;0;0;0;0
7611;1654999500;0;0;0;0;0;0;0;0
7612;1654999800;0;0;0;0;0;0;0;0
7613;1655000100;0;0;0;0;0;0;0;0
7614;1655000400;0;0;0;0;0;0;0;0
7615;1655000700;0;0;0;0;0;0;0;0
7616;1655001000;0;0;0;0;0;0;0;0
7617;1655001300;0;0;0;0;0;0;0;0
7618;1655001600;0;0;0;0;0;0;0;0
7619;1655001900;0;0;0;0;0;0;0;0
7620;1655002200;0;0;0;0;0;0;0;0
7621;1655002500;0;0;0;0;0;0;0;0
7622;1655002800;0;0;0;0;0;0;0;0
7623;1655003100;0;0;0;0;0;0;0;0
7624;1655003400;0;0;0;0;0;0;0;0
7625;1655003700;0;0;0;0;0;0;0;0
7626;1655004000;0;0;0;0;0;0;0;0
7627;1655004300;0;0;0;0;0;0;0;0
7628;1655004600;0;0;0;0;0;0;0;0
7629;1655004900;0;0;0;0;0;0;0;0
7630;1655005200;0;0;0;0;0;0;0;0
7631;1655005500;0;0;0;0;0;0;0;0
7632;1655005800;0;0;0;0;0;0;0;0
7633;1655006100;0;0;0;0;0;0;0;0
7634;1655006400;0;0;0;0;0;0;0;0
7635;1655006700;0;0;0;0;0;0;0;0
7636;1655007000;0;0;0;0;0;0;0;0
7637;1655007300;0;0;0;0;0;0;0;0
7638;1655007600;0;0;0;0;0;0;0;0
7639;1655007900;0;0;0;0;0;0;0;0
7640;1655008200;0;0;0;0;0;0;0;0
7641;1655008500;0;0;0;0;0;0;0;0
7642;1655008800;0;0;0;0;0;0;0;0
7643;1655009100;0;0;0;0;0;0;0;0
7644;1655009400;0;0;0;0;0;0;0;0
7645;1655009700;0;0;0;0;0;0;0;0
7646;1655010000;0;0;0;0;0;0;0;0
7647;1655010300;0;0;0;0;0;0;0;0
7648;1655010600;0;0;0;0;0;0;0;0
7649;1655010900;0;0;0;0;0;0;0;0
7650;1655011200;0;0;0;0;0;0;0;0
7651;1655011500;0;0;0;0;0;0;0;0
7652;1655011800;0;0;0;0;0;0;0;0
7653;1655012100;0;0;0;0;0;0;0;0
7654;1655012400;0;0;0;0;0;0;0;0
7655;1655012700;0;0;0;0;0;0;0;0
7656;1655013000;0;0;0;0;0;0;0;0
7657;1655013300;0;0;0;0;0;0;0;0
7658;1655013600;0;0;0;0;0;0;0;0
7659;1655013900;0;0;0;0;0;0;0;0
7660;1655014200;0;0;0;0;0;0;0;0
7661;1655014500;0;0;0;0;0;0;0;0
7662;1655014800;0;0;0;0;0;0;0;0
7663;1655015100;0;0;0;0;0;0;0;0
7664;1655015400;0;0;0;0;0;0;0;0
7665;1655015700;0;0;0;0;0;0;0;0
7666;1655016000;0;0;0;0;0;0;0;0
7667;1655016300;0;0;0;0;0;0;0;0
7668;1655016600;0;0;0;0;0;0;0;0
7669;1655016900;0;0;0;0;0;0;0;0
7670;1655017200;0;0;0;0;0;0;0;0
7671;1655017500;0;0;0;0;0;0;0;0
7672;1655017800;0;0;0;0;0;0;0;0
7673;1655018100;0;0;0;0;0;0;0;0
7674;1655018400;0;0;0;0;0;0;0;0
7675;1655018700;0;0;0;0;0;0;0;0
7676;1655019000;0;0;0;0;0;0;0;0
7677;1655019300;0;0;0;0;0;0;0;0
7678;1655019600;0;0;0;0;0;0;0;0
7679;1655019900;0;0;0;0;0;0;0;0
7680;1655020200;0;0;0;0;0;0;0;0
7681;1655020500;0;0;0;0;0;0;0;0
7682;1655020800;0;0;0;0;0;0;0;0
7683;1655021100;0;0;0;0;0;0;0;0
7684;1655021400;0;0;0;0;0;0;0;0
7685;1655021700;0;0;0;0;0;0;0;0
7686;1655022000;0;0;0;0;0;0;0;0
7687;1655022300;0;0;0;0;0;0;0;0
7688;1655022600;0;0;0;0;0;0;0;0
7689;1655022900;0;0;0;0;0;0;0;0
7690;1655023200;0;0;0;0;0;0;0;0
7691;1655023500;0;0;0;0;0;0;0;0
7692;1655023800;0;0;0;0;0;0;0;0
7693;1655024100;0;0;0;0;0;0;0;0
7694;1655024400;0;0;0;0;0;0;0;0
7695;1655024700;0;0;0;1;0;0;0;0
7696;1655025000;0;0;0;1;0;0;0;0
7697;1655025300;0;0;0;1;0;0;0;0
7698;1655025600;0;0;0;1;0;0;0;0
7699;1655025900;0;0;0;1;0;0;0;0
7700;1655026200;0;0;0;1;0;0;0;0
7701;1655026500;0;0;0;1;0;0;0;0
7702;1655026800;0;0;0;1;0;0;0;0
7703;1655027100;0;0;0;1;0;0;0;0
